id,product_id,property_type_id,value,,
188,28,18,"['Nửa hồn thương đau','Sang ngang','Kiếp đam mê','Bài không tên số 7','Em còn nhớ hay em đã quên','Trăm nhớ ngàn thương','Kiếp cầm ca','Như đã dấu yêu','Bài cuối cùng cho người tình']",,
189,28,19,05-2014,,
190,28,20,Nhạc trẻ,,
191,29,16,Phạm Thùy Dung,,
192,29,17,Phương Nam Phim,,
193,29,18,"['Ave Maria','Khúc Hát Nàng Solveig','Chuyện Về Mặt Trăng Và Mặt Trời','Dòng Sông Danuyp Xanh','Khu Vườn Đêm Trăng','Tôi Nhìn Theo Cánh Chim Bay','Mỗi Sớm Mai Lại Thêm Bình Yên','The Phantom Of The Opera']",,
194,29,19,04-2015,,
195,29,20,Nhạc trẻ,,
196,30,16,Đàm Vĩnh Hưng,,
197,30,17,Tiếng Hát Việt,,
198,30,18,"['Ca khúc trầm hương','Dâng mẹ','Lắng nghe lời chúa','Lời mẹ nhắn nhủ','Giọt lệ thống hối','Một đời như chúa','Cung chúc trinh vương','Tâm tình hiến dâng','Sao biển','Xin vâng','Noel về']",,
199,30,19,06-2014,,
200,30,20,Nhạc trẻ,,
201,31,16,Đàm Vĩnh Hưng,,
202,31,17,Tiếng Hát Việt,,
203,31,18,"['Bây giờ tháng mấy','Đêm thánh vô cùng','Tình người ngoại đạo','Hai mùa noel','Xa rồi mùa đông','Người tình mùa đông']",,
204,31,19,07-2014,,
205,31,20,Trữ tình,,
206,32,16,Hồng Nhung,,
207,32,17,Phương Nam Phim,,
208,32,18,"['Tôi xưa nay Hà Nội','Phố à phố ơi','Về với đông','Giấc mơ tôi','Cây bàng của cha','Cây vĩ cầm','Phố cổ','Đêm nằm mơ phố','Phố thu','Lời thú tội','Thư Hà Nội']",,
209,32,19,07-2013,,
210,32,20,Trữ tình,,
211,33,16,Trường Vũ,,
212,33,17,Phượng Hoàng,,
213,33,18,"['Mười sáu trăng tròn','Thương về quán trọ','Viết từ KBC','Ngoại ô buồn','Mười năm tái ngộ','Giã từ vũ khí','Mùa sầu riêng','Lính xa nhà','Kỉ niệm mùa hè','Hai kỉ niệm một chuyến đi']",,
214,33,19,10-2010,,
215,33,20,Trữ tình,,
216,34,16,Phương Anh,,
217,34,17,Audio Space,,
218,34,18,"['Bài không tên số 4','Chờ người','Một cõi tình phai','Sang ngang','Vết thương cuối cùng','Hoa vàng mấy độ','Giấc mơ mùa thu','Bản tình cuối']",,
219,34,19,02-2018,,
220,34,20,Trữ tình,,
221,35,16,Trường Vũ,,
222,35,17,Phượng Hoàng,,
223,35,18,"['Ngày đó xa rồi','Vọng gác đêm sương','Chuyện tình người đan áo','Trăng tàn trên hè phố','Lời kẻ đăng trình','Nó và tôi','Lời tình viết vội','Được tin em lấy chồng','Ngỏ hồn qua đêm','Tình bơ vơ']",,
224,35,19,03-2003,,
225,35,20,Trữ tình,,
226,36,16,Hương Lan,,
